FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,REQUIREMENT_SET_ID,REQUIREMENT_SUBSET_ID,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,EXP_JOB_CLASS_ALT_RESP,EXP_JOB_CLASS_FUNCTION,COURSE_LENGTH,DRIVERS_LICENSE_REQ,DRIV_LIC_TYPE,EXAM_TYPE,SALARY_START,SALARY_END,ENTRY_SALARY_DWP,REQUIREMENTS,APPLICATION_DEADLINE,OPEN_DATE,SALARY_START_NUM,SALARY_END_NUM,OPEN_YEAR,OPEN_MONTH,EXP_NUM
ARTS ASSOCIATE 2454 072117 REV 072817.txt,ARTS ASSOCIATE,2454,1,,"An Arts Associate performs a broad range of entry-level professional arts administration work in the areas of: community and public arts program coordination; cultural grant administration; performing arts and festival production; preparation and development of marketing materials; project management in public art, mural commissioning, and conservation of artworks; and art collection management and/or archives, while receiving on-the-job training and experience in preparation for career advancement in various art administration areas.",four-year,college,"Arts (design, literary, media/communication, performing, and/or visual), Cultural Studies, Literature, English, Art History, Art Administration, or a closely related field",two years,full-time,,,"within the last ten years in assisting and coordinating a program in an organization responsible for fine arts, public art, or cultural programs and activities;",9 semester units or 14 quarter units,P,,OPEN,"$48,797","$71,326",,"1. A bachelor's degree from an accredited four-year college or university with a major in Arts (design, literary, media/communication, performing, and/or visual), Cultural Studies, Literature, English, Art History, Art Administration, or a closely related field; or
2. An associate of arts degree from an accredited two-year college with a major in Arts (design, literary, media/communication, performing, and/or visual), Cultural Studies, Literature, English, Art History, Art Administration, or a closely related field, including completion of 9 semester units or 14 quarter units in the fields listed; and two years of full-time paid experience within the last ten years in assisting and coordinating a program in an organization responsible for fine arts, public art, or cultural programs and activities; or
3. Four years of full-time paid experience within the last ten years in assisting and coordinating a program in an organization responsible for fine arts, public art, or cultural programs and activities.","THURSDAYAUGUST 3, 2017",07-21-17,48797.0,71326.0,2017,7,2
SENIOR COMMUNICATIONS ELECTRICIAN 3638 030317 (1).txt,SENIOR COMMUNICATIONS ELECTRICIAN,3638,,,"A Senior Communications Electrician acts as a lead for and works with a small group of employees engaged in the construction, installation, repair, maintenance, and modification of communication systems and equipment such as: radio, microwave transmission, Local Area Network/Wide Area Network data distribution systems, telephone networks, audio, avionic electronics, intrusion alarm systems, mobile digital terminals, dispatch networks, copper and fiber-optic cable systems, video distribution systems, supervisory control and data acquisition (scada), and transmission systems.",,,,Two years,full-time,,,"in a class at least at the level of Communications Electrician engaged in the construction, installation, operation, repair, maintenance, or modification of electronic communication systems",,P,,INT_DEPT_PROM,"$94,941",flat-rated,"$114,568","Two years of full-time paid experience in a class at least at the level of Communications Electrician engaged in the construction, installation, operation, repair, maintenance, or modification of electronic communication systems.","THURSDAYMARCH 16, 2017",03-03-17,94941.0,94941.0,2017,3,2
SENIOR AUTOMOTIVE SUPERVISOR 3716 112015.txt,SENIOR AUTOMOTIVE SUPERVISOR,3716,,,"A Senior Automotive Supervisor assists in planning, organizing, directing, and coordinating the work of employees engaged in the maintenance and repair of transportation, construction, and fire equipment; and assists in developing and writing specifications, analyzing bids, and recommending the purchase of new equipment and modifications; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills Equal Employment Opportunity responsibilities.",,,,Two years,full-time,,,with the City of Los Angeles as an Automotive Supervisor or in a class at that level supervising employees engaged in the maintenance and repair of transportation or construction equipment,,,C,INT_DEPT_PROM,"$103,126","$111,875",,Two years of full-time paid experience with the City of Los Angeles as an Automotive Supervisor or in a class at that level supervising employees engaged in the maintenance and repair of transportation or construction equipment.,"THURSDAYDECEMBER 3, 2015",11-20-15,103126.0,111875.0,2015,11,2
WASTEWATER COLLECTION WORKER 4110 102612 REV 092817.txt,WASTEWATER COLLECTION WORKER,4110,1,,A Wastewater Collection Worker performs a variety of semi-skilled and skilled tasks in the maintenance and repair of sanitary sewers and storm drains; operates highly specialized sewer and storm drain cleaning equipment; utilizes laptop computers to complete work assignments; performs research on wastewater collection assets; and may act as a working field supervisor over a small group of employees.,,,,One year,full-time,,,"with the City of Los Angeles Department of Public Works, Bureau of Sanitation, Wastewater Collection Systems Division, as a Maintenance Laborer, Maintenance and Construction Helper, or Mechanical Helper;",,R,,OPEN_INT_PROM,"$43,973","$62,556",,"1. One year of full-time paid experience with the City of Los Angeles Department of Public Works, Bureau of Sanitation, Wastewater Collection Systems Division, as a Maintenance Laborer, Maintenance and Construction Helper, or Mechanical Helper; or
2. One year of full-time paid experience in the maintenance, repair or construction of municipal sanitary sewers or storm drain systems.",,10-26-12,43973.0,62556.0,2012,10,1
SENIOR STOREKEEPER 1837 052518.txt,SENIOR STOREKEEPER,1837,,,"A Senior Storekeeper assigns, reviews and evaluates the work of Storekeepers and other employees engaged in storekeeping activities in a district store, a construction project store, or a large independent or specialized section of a general store; directs a smaller store serving a single large City department; may act as the assistant to a Principal Storekeeper; applies sound supervisory principles and techniques in building and maintaining an effective work force, and fulfills Equal Employment Opportunity responsibilities.",,,,Two years,full-time,,,as a Storekeeper or in a class at least at that level supervising and working with employees engaged in storekeeping,,P,,INT_DEPT_PROM,"$52,806","$77,172","$83,373 to $88,030",Two years of full-time paid experience as a Storekeeper or in a class at least at that level supervising and working with employees engaged in storekeeping.,"THURSDAYJUNE 7, 2018",05-25-18,52806.0,77172.0,2018,5,2
ASSISTANT TREE SURGEON 3150 012017.txt,ASSISTANT TREE SURGEON,3150,1,,An Assistant Tree Surgeon assists in tree trimming and removal work and performs a variety of unskilled tasks on the ground.,,,,,,,,,,,,OPEN,"$35,746","$52,241",,"1. Current employment as a Vocational Worker with the City of Los Angeles assigned to a position that assists in tree trimming and/or removal work; and
2. A letter of recommendation from the personnel office of the employing department, which includes a statement of the department's willingness to hire the employee as an Assistant Tree Surgeon. The letter must be attached to the application at the time of filing.",,01-20-17,35746.0,52241.0,2017,1,0
PIPEFITTER 3433 080318.txt,PIPEFITTER,3433,1,,"A Pipefitter does skilled work in the installation, replacement, maintenance, and repair of industrial steam, oil, air, gas, water, steam heating and other pipe systems, including high pressure and high temperature systems.",,apprentice,pipefitter,Five years,full-time,,,as a Mechanical Helper with the City of Los Angeles working with a Pipefitter;,,P,,OPEN_INT_PROM,"$94,455",flat-rated,"$101,622","1. Completion of a recognized apprenticeship as a pipefitter; or
2. Five years of full-time paid experience as a Mechanical Helper with the City of Los Angeles working with a Pipefitter; or
3. Six years of full-time paid experience performing installation, replacement, maintenance and repair of industrial steam, oil, air, gas, water, steam heating and other pipe systems, including high pressure and high temperature systems.","THURSDAYAUGUST 16, 2018",08-03-18,94455.0,94455.0,2018,8,5
MECHANICAL REPAIRER 3773 092118.txt,MECHANICAL REPAIRER,3773,,,A Mechanical Repairer does a variety of tasks in maintaining and repairing mechanical equipment and tools.,,,,Two years,full-time,,,at the helper level performing mechanical repair work,,,B,INT_DEPT_PROM,"$82,000",flat-rated,"$82,204","Two years of full-time paid experience at the helper level performing mechanical repair work.

Completion of the Los Angeles Trade Tech Air-Cooled Engine curriculum may be substituted for a maximum of one year of the required experience.","THURSDAYOCTOBER 4, 2018",09-21-18,82000.0,82000.0,2018,9,2
SENIOR DETENTION OFFICER 3212 012017.txt,SENIOR DETENTION OFFICER,3212,,,"A Senior Detention Officer works with and assigns, reviews and evaluates the work of Detention Officers and other assigned personnel engaged in booking, processing, and releasing of arrested persons and their personal property; maintains custody and control of prisoners; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; conducts administrative investigations involving subordinate staff; and does related work.",,,,Two years,full-time,,,as a Detention Officer with the City of Los Angeles,,P,,INT_DEPT_PROM,"$51,699","$73,560",,Two years of full-time paid experience as a Detention Officer with the City of Los Angeles.,"THURSDAYFEBRUARY 2, 2017",01-20-17,51699.0,73560.0,2017,1,2
BUILDING REPAIRER 3333 030218.txt,BUILDING REPAIRER,3333,,,"A Building Repairer does a variety of maintenance, modification and repair and some new construction work on buildings, residences, sports fields, bleachers, signs, fences, and other structures and maintains and repairs equipment used in such structures and performs related work.",,,,Three years,full-time,,,"in one or more of the following building trades: carpentry, plumbing, roofing, plastering, cabinet making, painting, masonry, cement finishing, electrical, and/or pipefitting",,P,A,OPEN_INT_PROM,"$44,411","$64,915","$70,845 to $88,030","Three years of full-time paid experience in one or more of the following building trades: carpentry, plumbing, roofing, plastering, cabinet making, painting, masonry, cement finishing, electrical, and/or pipefitting.","THURSDAYMARCH 15, 2018",03-02-18,44411.0,64915.0,2018,3,3
